,상권_코드,개업률_평균,폐업률_평균
676,2110678,0.0,1.6667
677,2110679,3.2982,0.6622
678,2110680,5.3586,5.3831
679,2110681,2.7953,1.0111
680,2110682,3.3723,0.0
681,2110683,6.4284,5.9781
682,2110684,5.7718,6.2321
683,2110685,6.6667,0.0
684,2110686,5.5312,6.5313
685,2110687,4.9541,2.242
686,2110688,8.857,8.4539
687,2110689,2.8052,3.7509
688,2110690,6.6667,5.1019
689,2110691,6.0595,9.0952
690,2110692,0.7611,3.1278
691,2110693,0.5373,2.375
692,2110694,4.6713,3.5347
693,2110695,4.9722,4.3518
694,2110696,0.7246,1.4493
695,2110697,6.6905,8.7899
696,2110698,1.9375,1.8874
697,2110699,2.6875,3.0104
698,2110700,3.2968,1.519
699,2110701,2.4116,1.2698
700,2110702,5.1032,3.5569
701,2110703,3.3519,4.7222
702,2110704,0.0,1.875
703,2110705,2.2222,0.0
704,2110706,3.9537,4.3056
705,2110707,1.5833,2.5417
706,2110708,2.9493,2.5211
707,2110709,5.9835,5.6042
708,2110710,2.841,3.3541
709,2110711,6.3959,3.5262
710,2110712,5.117,3.7365
711,2110713,4.5417,2.3125
712,2110714,5.0087,3.9919
713,2110715,5.67,4.2254
714,2110716,3.5833,4.4896
715,2110717,3.7963,3.2592
716,2110718,4.6759,3.3796
717,2110719,0.0,0.0
718,2110720,3.3966,4.1266
719,2110721,2.2222,3.2593
720,2110722,3.6574,1.25
721,2110723,3.5873,3.1347
722,2110724,3.8918,3.2559
723,2110725,3.8325,2.3207
724,2110726,6.5913,3.5714
725,2110727,8.2466,4.6191
726,2110728,2.725,3.173
727,2110729,3.9688,3.0104
728,2110730,7.0861,4.4966
729,2110731,4.5625,2.4468
730,2110732,2.8611,2.8733
731,2110733,4.733,0.0
732,2110734,3.2222,1.3889
733,2110735,4.3542,5.6771
734,2110736,4.7083,3.8958
735,2110737,3.8333,6.4
736,2110738,8.9519,6.4182
737,2110739,2.4611,0.6516
738,2110740,6.7714,4.9638
739,2110741,6.4772,3.29
740,2110742,2.9928,3.7577
741,2110743,5.8333,7.0119
742,2110744,4.5209,4.4075
743,2110745,4.1861,3.5799
744,2110746,6.1633,5.5096
745,2110747,4.3962,3.7521
746,2110748,4.8542,6.8646
747,2110749,4.8929,5.8214
748,2110750,5.8655,2.2068
749,2110751,12.1512,5.9086
750,2110752,4.7812,4.8646
751,2110753,2.3426,2.5278
752,2110754,6.3056,5.9492
753,2110755,6.5866,3.6369
754,2110756,3.0729,4.7187
755,2110757,6.4907,9.4444
756,2110758,2.8056,1.6389
757,2110759,5.9537,3.6574
758,2110760,3.7912,4.801
759,2110761,0.0,0.0
760,2110762,3.5278,5.2315
761,2110763,3.7037,5.1667
762,2110764,7.6389,0.0
763,2110765,5.7713,4.9111
764,2110766,5.381,3.0997
765,2110767,3.3553,5.3465
766,2110768,1.75,2.5
767,2110769,3.3958,1.5208
768,2110770,4.7958,3.9299
769,2110771,11.7896,9.7222
770,2110772,0.0,0.0
771,2110773,2.5,1.6667
772,2110774,4.5005,3.6229
773,2110775,3.7361,4.0139
774,2110776,2.0833,4.3056
775,2110777,1.3528,3.7278
776,2110778,5.1759,4.1678
777,2110779,7.4006,8.8141
778,2110780,2.9643,4.1548
779,2110781,4.4583,4.125
780,2110782,3.1766,0.8571
781,2110783,3.5092,3.6667
782,2110784,3.6294,5.2752
783,2110785,5.6065,4.868
784,2110786,2.0833,2.1667
785,2110787,5.7719,3.7734
786,2110788,1.6422,5.4667
787,2110789,3.9896,6.4687
788,2110790,6.0532,3.6781
789,2110791,2.6369,5.9662
790,2110792,3.5729,4.4375
791,2110793,0.6944,6.4722
792,2110794,2.5417,3.1771
793,2110795,4.0985,2.0833
794,2110796,2.3686,4.3143
795,2110797,3.8125,1.0417
796,2110798,1.6667,1.6667
797,2110799,3.7917,3.2847
798,2110800,3.8611,0.8611
799,2110801,2.5641,0.0
800,2110802,2.9072,3.0838
801,2110803,7.9643,4.2381
802,2110804,3.933,4.7797
803,2110805,6.0667,4.2
804,2110806,4.1667,0.0
805,2110807,4.3278,4.5694
806,2110808,0.8646,2.8646
807,2110809,3.7143,5.7857
808,2110810,5.0741,5.4907
809,2110811,5.7271,3.0852
810,2110812,4.1175,5.6739
811,2110813,5.8542,3.7619
812,2110814,4.7304,4.6767
813,2110815,2.5926,3.4259
814,2110816,2.6428,2.6309
815,2110817,4.803,3.2015
816,2110818,5.8958,5.2083
817,2110819,4.2188,4.1354
818,2110820,5.8927,5.7081
819,2110821,3.7857,2.9167
820,2110822,5.1435,2.7778
821,2110823,4.1551,5.5405
822,2110824,2.3646,2.6145
823,2110825,5.841,4.7181
824,2110826,5.9601,8.4905
825,2110827,3.8875,4.0021
826,2110828,3.0194,3.2954
827,2110829,2.7606,6.9109
828,2110830,4.9237,5.3056
829,2110831,2.0476,3.0714
830,2110832,1.5833,2.5699
831,2110833,5.4863,2.2066
832,2110834,2.4497,1.421
833,2110835,3.7917,3.4445
834,2110836,3.1759,4.8148
835,2110837,4.1481,3.7408
836,2110838,0.5376,1.1905
837,2110839,1.9537,2.3704
838,2110840,2.8704,4.0
839,2110841,0.0,0.0
840,2110842,5.054,3.9687
841,2110843,4.0609,2.4942
842,2110844,2.5641,0.0
843,2110845,4.3889,2.7778
844,2110846,3.4387,4.0099
845,2110847,2.7222,7.25
846,2110848,4.4167,4.2143
847,2110849,6.5266,4.5595
848,2110850,4.8704,4.8889
849,2110851,1.9145,1.9189
850,2110852,4.9571,8.7639
851,2110853,7.6674,5.5418
852,2110854,2.0743,1.4191
853,2110855,4.0558,4.168
854,2110856,3.7978,4.5288
855,2110857,2.0754,3.5635
856,2110858,4.1834,4.657
857,2110859,4.625,4.1667
858,2110860,2.8055,2.7083
859,2110861,6.0757,3.6574
860,2110862,6.3583,9.4333
861,2110863,3.8056,3.3241
862,2110864,5.5023,2.875
863,2110865,6.0833,4.3611
864,2110866,5.6257,5.7582
865,2110867,4.9819,3.4393
866,2110868,6.7368,4.3261
867,2110869,5.3982,3.4259
868,2110870,1.6667,1.6667
869,2110871,6.0512,4.1763
870,2110872,4.2381,2.381
871,2110873,5.5555,3.7685
872,2110874,4.5048,2.0132
873,2110875,8.0049,5.2559
874,2110876,6.5283,4.1855
875,2110877,6.091,5.3225
876,2110878,1.1528,2.5417
877,2110879,3.1777,2.5494
878,2110880,2.1875,2.6667
879,2110881,5.25,5.4259
880,2110882,4.5106,3.6228
881,2110883,5.75,5.7685
882,2110884,6.9107,8.4182
883,2110885,5.7205,4.2068
884,2110886,7.0833,6.9926
885,2110887,3.6994,4.9315
886,2110888,6.6174,4.081
887,2110889,6.7961,2.1965
888,2110890,3.9438,2.2733
889,2110891,4.9167,10.2278
890,2110892,5.2871,4.0833
891,2110893,0.0,0.6944
892,2110894,5.5556,0.0
893,2110895,5.8241,4.9259
894,2110896,4.4603,2.2044
895,2110897,7.8245,2.8044
896,2110898,2.8935,2.8935
897,2110899,7.8125,4.0509
898,2110900,5.3321,5.9075
899,2110901,4.5818,4.9016
900,2110902,2.9537,3.0648
901,2110903,6.4992,4.6727
902,2110904,5.1457,2.8661
903,2110905,3.2191,2.5417
904,2110906,12.5,12.5
905,2110907,3.7457,3.0093
906,2110908,0.7931,3.3385
907,2110909,5.5183,2.7835
908,2110910,2.6905,7.7381
909,2110912,2.6354,1.1979
910,2110913,0.6111,1.6667
911,2110914,0.0,4.8697
912,2110915,1.3929,2.2619
913,2110916,2.6928,3.5422
914,2110917,0.0,2.5926
915,2110918,5.5371,2.4605
916,2110919,6.4412,2.3301
917,2110920,0.0,0.0
918,2110921,3.766,2.8629
919,2110922,7.6587,5.2083
920,2110923,0.0,0.0
921,2110924,3.6018,3.5648
922,2110925,1.7,3.5584
923,2110926,2.2143,3.869
924,2110927,3.2928,9.3921
925,2110928,5.7941,3.8451
926,2110929,3.9222,3.0139
927,2110930,4.7556,3.7197
928,2110931,5.2395,4.3239
929,2110932,3.6944,4.1667
930,2110933,1.5152,0.0
931,2110934,4.4433,2.6933
932,2110935,3.8512,7.3413
933,2110936,3.7381,3.6191
934,2110937,1.3833,3.05
935,2110938,1.3021,1.9271
936,2110939,4.1759,4.3148
937,2110940,3.4947,3.9641
938,2110941,5.1947,1.2564
939,2110942,2.9907,4.7407
940,2110943,2.875,2.9271
941,2110944,4.1667,2.7778
942,2110945,6.9649,6.9627
943,2110946,1.2415,2.8526
944,2110947,7.6319,0.2222
945,2110949,4.5236,3.5805
946,2110950,19.6076,2.6983
947,2110951,4.9603,4.7282
948,2110952,9.9598,1.5152
949,2110953,3.4147,0.6944
950,2110954,5.3333,2.6333
951,2110955,3.2685,5.7593
952,2110956,3.125,4.1667
953,2110957,3.4122,3.3706
954,2110958,9.7544,5.9869
955,2110959,4.0833,1.2778
956,2110960,1.6667,1.6667
957,2110961,5.4166,3.3518
958,2110962,5.5333,2.5
959,2110963,5.0834,5.5555
960,2110964,6.25,4.1667
961,2110965,6.7517,4.8248
962,2110966,9.5325,10.4254
963,2110967,3.6999,2.8831
964,2110968,5.9693,4.5096
965,2110969,1.8611,0.0
966,2110970,3.3191,1.7544
967,2110971,3.8259,4.7279
968,2110972,1.7126,0.6667
969,2110973,3.5934,7.1722
970,2110974,6.0269,0.8333
971,2110975,4.5306,2.0278
972,2110976,2.9271,3.2916
973,2110977,0.0,0.6875
974,2110978,3.6058,4.6474
975,2110979,4.0096,0.9375
976,2110980,2.4389,1.6417
977,2110981,3.2548,3.2263
978,2110982,4.4643,4.1667
979,2110983,1.1548,1.1071
980,2110984,2.7768,2.4791
981,2110985,0.6667,5.1404
982,2110986,2.9375,4.8542
983,2110987,4.0476,1.6667
984,2110988,2.9028,2.0833
985,2110989,3.6954,3.7248
986,2110990,2.5394,0.0
987,2110991,3.9662,3.5254
988,2110992,3.8229,4.5313
989,2110994,1.6146,1.7917
990,2110995,3.3127,3.6955
991,2110996,1.872,2.2083
992,2110997,3.0834,2.7685
993,2110998,6.9967,4.3178
994,2110999,5.0593,4.3278
995,2111000,3.4643,5.9048
996,2111001,7.5502,1.2745
997,2111002,2.2353,4.0
998,2111003,4.1759,4.5741
999,2111004,4.2315,4.1667
1000,2111005,5.4396,6.4406
1001,2111006,3.4259,2.9537
1002,2111007,5.1278,0.9935
1003,2111008,8.0429,5.4997
1004,2111009,5.3929,2.8214
1005,2111010,3.9722,5.0093
1006,2111011,5.5333,1.75
1007,2111012,8.5842,5.5407
1008,2111013,5.3055,4.037
1009,2111014,2.8056,3.6389
1010,2111015,5.8889,4.287
1011,2111016,4.8472,4.625
1012,2111017,3.0194,4.3881
1013,2111018,0.0,0.0
1014,2111019,4.6732,6.0844
1015,2111020,6.6297,6.2567
1016,2111021,3.9074,3.6111
1017,2111022,8.2583,6.875
1018,2111023,9.3899,6.5026
1019,2111024,5.3544,2.862
1020,2111025,5.4306,3.7111
1021,2111026,2.9954,4.6053
1022,2111027,3.463,3.8611
1023,2111028,6.0449,4.3747
1024,2111029,4.5278,0.9167
1025,2111030,4.2037,3.7222
1026,2111031,6.1814,3.3789
1027,2111032,2.6019,2.8518
1028,2111033,5.829,1.9689
1029,2111034,2.9617,4.6828
1030,2111035,2.5833,3.2143
1031,2111036,2.8988,2.9841
1032,2111037,0.0,0.0
1033,2111038,4.3187,2.8765
1034,2111039,3.9112,2.6923
1035,2111040,4.1782,2.5509
1036,2111041,17.7778,0.0
1037,2111042,3.0134,2.7541
1038,2111043,1.8519,0.6875
1039,2111044,4.6439,2.9868
1040,2111045,10.2611,4.6222
1041,2111046,4.3173,3.2651
1042,2111047,4.3333,1.7292
1043,2111048,5.2652,4.9533
1044,2111049,5.5908,4.0685
1045,2111050,5.0618,4.5339
1046,2111051,2.8611,4.0833
1047,2111052,6.5712,3.639
1048,2111053,4.2396,5.4265
1049,2111054,8.2769,7.6542
1050,2111055,0.5833,0.0
1051,2111056,1.45,2.6548
1052,2111057,4.9881,3.4762
1053,2111058,5.1257,3.3718
1054,2111059,5.6852,5.5926
1055,2111060,5.6759,4.5926
1056,2111061,4.1203,3.0092
1057,2111062,5.3426,5.9624
1058,2111063,3.6806,4.5695
1059,2111064,4.4245,2.4665
1060,2111065,10.9554,6.8452
1061,2111066,4.5313,2.9896
1062,2111067,3.8958,4.1875
1063,2111068,1.3889,1.3889
1064,2111069,8.5073,4.729
1065,2111070,6.156,6.2313
1066,2111071,4.6667,3.6833
1067,2111072,6.9317,6.5977
1068,2111073,3.0648,5.6204
1069,2111074,2.15,4.75
1070,2111075,2.2333,2.2
1071,2111076,3.6945,5.2407
1072,2111077,6.8232,5.6192
1073,2111078,5.25,5.3148
1074,2111079,2.7886,1.7484
1075,2111080,4.6944,7.1667
1076,2111081,33.3333,0.0
1077,2111082,3.2917,4.8472
1078,2111083,3.477,3.844
1079,2111084,10.3175,4.1667
1080,2111085,5.5,5.0648
1081,2111086,5.713,5.3796
1082,2111087,5.5421,2.6468
1083,2111088,7.1354,5.3314
1084,2111089,4.8333,3.6574
1085,2111090,5.6458,6.9561
1086,2120001,2.1759,3.037
1087,2120002,3.1019,3.4166
1088,2120003,3.3241,3.4722
1089,2120004,2.7963,3.6204
1090,2120005,4.2963,4.0
1091,2120006,3.2871,3.8148
1092,2120007,3.537,4.0463
1093,2120008,3.1482,2.3889
1094,2120009,3.5463,3.3796
1095,2120010,4.8538,4.4717
1096,2120011,3.1389,5.8611
1097,2120012,2.8333,4.0555
1098,2120013,3.6667,3.6389
1099,2120014,3.1297,3.4815
1100,2120015,3.5712,3.2655
1101,2120016,5.4498,5.8916
1102,2120017,1.6019,3.125
1103,2120018,2.3704,2.7593
1104,2120019,4.0603,3.157
1105,2120020,4.6759,3.5463
1106,2120021,4.1482,4.0833
1107,2120022,1.9352,3.4259
1108,2120023,2.4167,3.7222
1109,2120024,4.5881,2.9187
1110,2120025,1.2708,3.3646
1111,2120026,2.7037,3.4815
1112,2120027,2.1944,4.5278
1113,2120028,1.8148,3.3241
1114,2120029,0.9259,4.9074
1115,2120030,2.7593,2.8704
1116,2120031,3.5,2.463
1117,2120032,2.9722,3.4907
1118,2120033,6.9812,5.6292
1119,2120034,4.4726,3.5301
1120,2120035,1.6806,3.5059
1121,2120036,1.7778,2.5093
1122,2120037,2.0463,3.1389
1123,2120038,3.5926,2.9815
1124,2120039,4.8148,4.2407
1125,2120040,2.3704,2.6852
1126,2120041,4.1667,3.8982
1127,2120042,2.5463,2.787
1128,2120043,1.75,2.8333
1129,2120044,3.9722,2.5741
1130,2120045,3.6296,3.3333
1131,2120046,3.8796,5.213
1132,2120047,2.5093,3.1482
1133,2120048,5.4907,2.7222
1134,2120049,2.8426,4.1111
1135,2120050,10.8837,2.9991
1136,2120051,5.6481,3.4259
1137,2120052,4.787,3.5
1138,2120053,3.7685,3.9907
1139,2120054,5.6574,4.3426
1140,2120055,4.0278,2.7315
1141,2120056,3.6296,3.8148
1142,2120057,3.6111,4.4907
1143,2120058,3.6089,3.1948
1144,2120059,6.8333,5.7222
1145,2120060,1.3356,3.1829
1146,2120061,3.3797,3.0648
1147,2120062,3.0278,4.2407
1148,2120063,3.4074,3.8796
1149,2120064,3.8889,4.3611
1150,2120065,1.4167,3.9352
1151,2120066,3.7407,4.4907
1152,2120067,4.7778,4.3981
1153,2120068,2.9722,2.5278
1154,2120069,3.6296,3.6389
1155,2120070,3.963,2.9629
1156,2120071,3.2778,2.7407
1157,2120072,3.9908,4.3796
1158,2120073,4.3637,5.4036
1159,2120074,2.3704,3.5463
1160,2120075,2.7315,3.4259
1161,2120076,3.6574,3.5556
1162,2120077,4.1296,2.9074
1163,2120078,3.9259,5.25
1164,2120079,3.4445,3.5
1165,2120080,4.5107,3.5396
1166,2120081,3.7685,3.6481
1167,2120082,2.5435,3.5141
1168,2120083,3.665,4.6928
1169,2120084,2.9444,3.8333
1170,2120085,3.1944,3.3056
1171,2120086,4.3796,4.1018
1172,2120087,3.5313,5.3854
1173,2120088,3.8981,4.0
1174,2120089,7.8229,7.9792
1175,2120090,3.6574,4.0278
1176,2120091,2.6481,3.1018
1177,2120092,3.5588,3.4021
1178,2120093,3.9815,3.8519
1179,2120094,3.2778,3.7592
1180,2120095,2.6945,3.3426
1181,2120096,3.9074,4.1389
1182,2120097,4.3333,2.5463
1183,2120098,4.713,5.25
1184,2120099,3.6988,4.2384
1185,2120100,5.3148,6.6574
1186,2120101,3.1759,4.0741
1187,2120102,4.1574,4.0
1188,2120103,4.1667,5.1111
1189,2120104,4.9722,4.6389
1190,2120105,4.8889,6.6204
1191,2120106,4.213,5.3611
1192,2120107,3.6667,3.2222
1193,2120108,4.5648,3.6574
1194,2120109,4.8982,4.5
1195,2120110,5.0833,4.75
1196,2120111,4.1759,4.6944
1197,2120112,4.2778,4.713
1198,2120113,5.4722,3.7315
1199,2120114,3.1389,4.213
1200,2120115,0.6384,3.6012
1201,2120116,3.4537,4.8333
1202,2120117,3.1333,2.4333
1203,2120118,15.7751,3.9287
1204,2120119,7.3704,4.6204
1205,2120120,5.1389,4.3241
1206,2120121,3.4722,4.4074
1207,2120122,4.4815,4.6759
1208,2120123,5.8259,4.3004
1209,2120124,3.4815,2.4908
1210,2120125,2.9259,4.2593
1211,2120126,3.0833,3.0139
1212,2120127,3.2685,2.7222
1213,2120128,2.6759,3.6667
1214,2120129,4.4629,4.5741
1215,2120130,2.9537,3.3148
1216,2120131,4.6389,3.9815
1217,2120132,3.8889,4.0556
1218,2120133,4.0673,4.1891
1219,2120134,3.6111,2.8241
1220,2120135,4.2604,4.3958
1221,2120136,4.2407,4.213
1222,2120137,2.2593,2.6759
1223,2120138,3.9259,4.4537
1224,2120139,4.9896,4.5833
1225,2120140,5.4445,4.3611
1226,2120141,4.8123,5.8906
1227,2120142,5.7903,4.4398
1228,2120143,4.6852,4.0741
1229,2120144,4.8704,2.6296
1230,2120145,2.8055,3.5463
1231,2120146,2.0093,2.8611
1232,2120147,2.5463,3.75
1233,2120148,3.1852,2.9352
1234,2120149,3.3796,3.1019
1235,2120150,2.4129,2.5738
1236,2120151,3.4445,4.4444
1237,2120152,2.8426,3.4445
1238,2120153,3.3426,3.8241
1239,2120154,1.3704,2.9167
1240,2120155,7.3194,4.6557
1241,2120156,3.1389,4.0648
1242,2120157,3.6852,3.7222
1243,2120158,3.8796,4.3889
1244,2120159,3.6852,3.6574
1245,2120160,3.7222,3.5
1246,2120161,5.2645,3.8667
1247,2120162,1.8426,3.6852
1248,2120163,5.6613,3.403
1249,2120164,2.4815,2.3796
1250,2120165,2.4259,3.6667
1251,2120166,3.1574,3.713
1252,2120167,2.5555,2.8889
1253,2120168,0.1979,2.5
1254,2120169,3.7037,3.7685
1255,2120170,2.75,3.0
1256,2120171,2.4537,2.8148
1257,2120172,3.8796,3.4352
1258,2120173,3.6667,4.0185
1259,2120174,4.6485,3.2576
1260,2120175,3.0,2.8982
1261,2120176,6.0801,4.1965
1262,2120177,3.5556,2.5463
1263,2120178,3.2778,3.8796
1264,2120179,2.3055,3.0833
1265,2120180,7.25,7.3021
1266,2120181,4.6204,5.3611
1267,2120182,2.0093,2.5556
1268,2120183,3.8241,3.4907
1269,2120184,3.6204,4.1759
1270,2120185,4.7315,5.6204
1271,2120186,4.0,4.1296
1272,2120187,3.7778,3.8519
1273,2120188,3.4074,4.0371
1274,2120189,3.3148,3.6204
1275,2120190,3.6111,3.8241
1276,2120191,3.1111,4.287
1277,2120192,3.2315,3.8982
1278,2120193,3.5093,4.3148
1279,2120194,6.213,5.5185
1280,2120195,5.0926,3.6759
1281,2120196,3.8611,3.6111
1282,2120197,4.4167,4.1111
1283,2120198,4.3333,4.2778
1284,2120199,6.0556,4.161
1285,2120200,3.787,3.8333
1286,2120201,3.3889,4.5185
1287,2120202,4.6945,4.0648
1288,2120203,3.6482,4.1667
1289,2120204,3.4444,3.6482
1290,2120205,4.1574,3.9908
1291,2120206,4.0648,3.2315
1292,2120207,3.9722,3.8518
1293,2120208,3.6019,4.4722
1294,2120209,2.8426,3.1574
1295,2120210,4.2593,4.1111
1296,2120211,3.8856,3.4357
1297,2120212,3.0463,3.4629
1298,2120213,4.9908,4.9815
1299,2120214,2.8608,5.5036
1300,2120215,4.3426,4.6111
1301,2120216,2.3961,5.1755
1302,2120217,2.5092,3.5463
1303,2120218,1.5521,2.3333
1304,2120219,3.7222,3.7963
1305,2120220,2.4444,3.5185
1306,2120221,2.8889,2.787
1307,2120222,2.3981,3.4815
1308,2120223,0.7883,1.1022
1309,2120224,2.7593,2.8519
1310,2120225,3.6111,3.9074
1311,2120226,3.1852,3.8518
1312,2120227,2.6481,3.5185
1313,2120228,4.9537,4.1852
1314,2120229,4.1852,3.5556
1315,2120230,5.4352,4.2685
1316,2120231,0.8021,1.2396
1317,2120232,4.4537,4.1481
1318,2120233,4.2831,3.2812
1319,2120234,3.9444,4.4445
1320,2120235,7.7592,5.3148
1321,2120236,1.8426,4.2129
1322,2120237,5.213,5.3426
1323,2120238,4.1019,5.0463
1324,2120239,3.6574,3.5926
1325,2120240,2.4537,3.0185
1326,2120241,3.2222,3.7222
1327,2120242,4.3055,4.5741
1328,2120243,3.4167,4.287
1329,2120244,5.3834,4.8218
1330,2120245,2.8241,3.9444
1331,2120246,4.4259,4.5833
1332,2120247,3.4682,3.7979
1333,2120248,3.6389,4.5
1334,2120249,2.9444,1.8889
