,상권_코드,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,행정동_코드
0,2120249,LH,상권확장,114,59,11740540
1,2120248,LL,다이나믹,118,52,11740530
2,2120247,LL,다이나믹,108,48,11740600
3,2120246,LL,다이나믹,111,48,11740685
4,2120245,HL,상권축소,128,51,11740660
5,2120244,LL,다이나믹,116,54,11740580
6,2120243,LL,다이나믹,116,53,11740610
7,2120242,HL,상권축소,121,53,11740640
8,2120241,HL,상권축소,120,51,11710532
9,2120240,LL,다이나믹,111,54,11710632
10,2120239,HL,상권축소,119,49,11710620
11,2120238,LL,다이나믹,101,51,11710561
12,2120237,LL,다이나믹,108,49,11710620
13,2120236,LL,다이나믹,90,46,11710642
14,2120235,LL,다이나믹,51,27,11710642
15,2120234,HL,상권축소,124,50,11710620
16,2120233,HH,정체,127,55,11710562
17,2120232,HL,상권축소,127,54,11710562
18,2120231,HH,정체,192,162,11710631
19,2120230,HL,상권축소,127,53,11710600
20,2120229,LL,다이나믹,101,47,11710562
21,2120228,LL,다이나믹,116,49,11710580
22,2120227,LH,상권확장,111,59,11710710
23,2120226,HL,상권축소,121,50,11710610
24,2120225,LL,다이나믹,103,49,11710650
25,2120224,HH,정체,126,58,11680750
26,2120223,HL,상권축소,142,53,11680610
27,2120222,HH,정체,121,58,11680610
28,2120221,LL,다이나믹,118,54,11680580
29,2120220,HH,정체,122,55,11680600
30,2120219,LL,다이나믹,108,51,11680630
31,2120218,HH,정체,144,68,11680580
32,2120217,LL,다이나믹,101,50,11680630
33,2120216,LL,다이나믹,117,54,11680565
34,2120215,LL,다이나믹,105,49,11680590
35,2120214,LL,다이나믹,116,50,11680565
36,2120213,LL,다이나믹,111,50,11680590
37,2120212,LL,다이나믹,99,53,11680630
38,2120211,LL,다이나믹,93,47,11680630
39,2120210,LL,다이나믹,105,47,11680590
40,2120209,HH,정체,126,60,11680565
41,2120208,LL,다이나믹,108,52,11680565
42,2120207,LL,다이나믹,106,49,11680590
43,2120206,LL,다이나믹,104,49,11680650
44,2120205,HL,상권축소,128,51,11680656
45,2120204,LL,다이나믹,116,50,11680640
46,2120203,LL,다이나믹,109,51,11680531
47,2120202,LL,다이나믹,109,48,11680545
48,2120201,HL,상권축소,122,50,11680640
49,2120200,LL,다이나믹,100,48,11680545
50,2120199,LL,다이나믹,97,47,11680640
51,2120198,LL,다이나믹,118,47,11680640
52,2120197,LL,다이나믹,109,48,11680640
53,2120196,HL,상권축소,120,48,11680531
54,2120195,LL,다이나믹,109,49,11680545
55,2120194,LL,다이나믹,101,47,11680531
56,2120193,LL,다이나믹,111,51,11680545
57,2120192,LL,다이나믹,113,48,11680640
58,2120191,LL,다이나믹,116,53,11680521
59,2120190,LL,다이나믹,111,49,11680545
60,2120189,LL,다이나믹,107,50,11650520
61,2120188,HH,정체,120,56,11680510
62,2120187,LL,다이나믹,103,46,11680521
63,2120186,LL,다이나믹,100,47,11680510
64,2120185,LL,다이나믹,114,49,11680521
65,2120184,HL,상권축소,130,49,11650652
66,2120183,LH,상권확장,115,56,11650651
67,2120182,HH,정체,171,63,11650652
68,2120181,HH,정체,134,58,11650651
69,2120180,LL,다이나믹,108,51,11650652
70,2120179,HL,상권축소,121,54,11650520
71,2120178,LL,다이나믹,111,51,11650540
72,2120177,LL,다이나믹,98,44,11650560
73,2120176,LL,다이나믹,101,48,11650560
74,2120175,HH,정체,143,56,11650510
75,2120174,HH,정체,125,57,11650540
76,2120173,HH,정체,127,59,11650510
77,2120172,HH,정체,133,56,11650530
78,2120171,HH,정체,144,56,11650530
79,2120170,LL,다이나믹,106,52,11650581
80,2120169,HH,정체,119,56,11650530
81,2120168,HH,정체,126,58,11650530
82,2120167,HH,정체,132,67,11650581
83,2120166,HH,정체,130,55,11650600
84,2120165,LL,다이나믹,114,53,11650581
85,2120164,HH,정체,128,57,11650621
86,2120163,LL,다이나믹,95,48,11650610
87,2120162,HL,상권축소,142,50,11650590
88,2120161,HH,정체,131,64,11650590
89,2120160,LH,상권확장,111,56,11650610
90,2120159,LL,다이나믹,111,52,11620595
91,2120158,HL,상권축소,119,51,11620735
92,2120157,LL,다이나믹,113,50,11620695
93,2120156,HL,상권축소,120,53,11590630
94,2120155,LL,다이나믹,105,50,11590651
95,2120154,HH,정체,159,60,11590540
96,2120153,HH,정체,122,61,11590510
97,2120152,LL,다이나믹,117,53,11590660
98,2120151,LH,상권확장,116,56,11590680
99,2120150,HH,정체,142,55,11560540
100,2120149,HL,상권축소,123,54,11560540
101,2120148,HL,상권축소,129,55,11560540
102,2120147,HL,상권축소,130,54,11590660
103,2120146,HH,정체,152,64,11560535
104,2120145,HH,정체,123,57,11560535
105,2120144,HH,정체,121,61,11560535
106,2120143,LL,다이나믹,114,52,11560560
107,2120142,LL,다이나믹,100,47,11560720
108,2120141,HL,상권축소,123,51,11560550
109,2120140,LL,다이나믹,100,39,11560605
110,2120139,HL,상권축소,134,52,11560720
111,2120138,LH,상권확장,103,57,11560560
112,2120137,LL,다이나믹,115,50,11560605
113,2120136,LL,다이나믹,112,51,11560550
114,2120135,LL,다이나믹,97,52,11560610
115,2120134,HL,상권축소,139,50,11545630
116,2120133,HH,정체,123,57,11545670
117,2120132,LL,다이나믹,111,52,11545610
118,2120131,LL,다이나믹,98,48,11545510
119,2120130,LL,다이나믹,113,53,11530540
120,2120129,LL,다이나믹,98,47,11530540
121,2120128,LL,다이나믹,96,46,11530560
122,2120127,LL,다이나믹,116,48,11530560
123,2120126,HL,상권축소,120,52,11530595
124,2120125,HH,정체,147,61,11530530
125,2120124,HL,상권축소,139,55,11530760
126,2120123,HH,정체,123,62,11530770
127,2120122,LL,다이나믹,108,48,11500591
128,2120121,LL,다이나믹,103,48,11500540
129,2120120,LL,다이나믹,105,54,11500540
130,2120119,LL,다이나믹,51,40,11500603
131,2120118,LL,다이나믹,22,22,11500603
132,2120117,HH,정체,156,87,11500611
133,2120116,HH,정체,138,58,11500620
134,2120115,LL,다이나믹,98,51,11500640
135,2120114,LL,다이나믹,107,51,11470550
136,2120113,LL,다이나믹,96,52,11470510
137,2120112,LL,다이나믹,114,52,11470530
138,2120111,LL,다이나믹,117,49,11500570
139,2120110,LL,다이나믹,117,48,11470650
140,2120109,HL,상권축소,119,49,11470620
141,2120108,LL,다이나믹,118,54,11470650
142,2120107,LL,다이나믹,112,54,11440565
143,2120106,HL,상권축소,124,51,11440590
144,2120105,LL,다이나믹,73,43,11440655
145,2120104,LL,다이나믹,78,48,11440660
146,2120103,LL,다이나믹,87,46,11440660
147,2120102,LL,다이나믹,109,52,11440660
148,2120101,LL,다이나믹,92,52,11440680
149,2120100,LL,다이나믹,103,52,11440660
150,2120099,LL,다이나믹,103,51,11440730
151,2120098,LL,다이나믹,72,37,11440740
152,2120097,HH,정체,122,57,11410565
153,2120096,HL,상권축소,119,52,11410585
154,2120095,HH,정체,134,61,11410620
155,2120094,HL,상권축소,129,55,11410585
156,2120093,LL,다이나믹,104,55,11410615
157,2120092,LH,상권확장,117,57,11380570
158,2120091,HH,정체,123,56,11380580
159,2120090,HH,정체,126,57,11380530
160,2120089,LL,다이나믹,35,39,11380690
161,2120088,LH,상권확장,116,56,11380552
162,2120087,LL,다이나믹,107,53,11380631
163,2120086,LL,다이나믹,109,55,11350595
164,2120085,LL,다이나믹,102,52,11350619
165,2120084,LH,상권확장,116,58,11350595
166,2120083,HL,상권축소,119,53,11350625
167,2120082,HL,상권축소,125,49,11350695
168,2120081,LL,다이나믹,107,49,11350640
169,2120080,HH,정체,128,61,11350710
170,2120079,HL,상권축소,123,54,11320514
171,2120078,LL,다이나믹,103,53,11305545
172,2120077,LL,다이나믹,108,50,11305535
173,2120076,LL,다이나믹,115,50,11305630
174,2120075,HL,상권축소,119,54,11290725
175,2120074,LL,다이나믹,110,50,11290600
176,2120073,LH,상권확장,110,56,11290715
177,2120072,LL,다이나믹,109,52,11290575
178,2120071,LL,다이나믹,117,46,11290555
179,2120070,HH,정체,130,67,11290555
180,2120069,LL,다이나믹,107,51,11260590
181,2120068,HH,정체,129,58,11260575
182,2120067,LL,다이나믹,112,50,11230660
183,2120066,HH,정체,146,59,11230650
184,2120065,HH,정체,120,56,11230720
185,2120064,LL,다이나믹,95,49,11230710
186,2120063,HH,정체,178,62,11230560
187,2120062,HL,상권축소,125,49,11230536
188,2120061,LL,다이나믹,111,50,11215870
189,2120060,HH,정체,146,60,11215870
190,2120059,LL,다이나믹,89,54,11215870
191,2120058,HH,정체,154,55,11215850
192,2120057,LH,상권확장,109,57,11215780
193,2120056,HL,상권축소,122,53,11215850
194,2120055,LL,다이나믹,109,52,11215730
195,2120054,LL,다이나믹,104,52,11215710
196,2120053,LL,다이나믹,89,53,11215710
197,2120052,LL,다이나믹,100,55,11200690
198,2120051,LH,상권확장,91,57,11200660
199,2120050,LH,상권확장,99,62,11200650
200,2120049,LL,다이나믹,104,52,11200560
201,2120048,HH,정체,133,58,11200620
202,2120047,HH,정체,125,56,11170685
203,2120046,HH,정체,130,59,11170650
204,2120045,HH,정체,131,64,11170530
205,2120044,LH,상권확장,118,64,11170625
206,2120043,HH,정체,152,61,11140540
207,2120042,HH,정체,135,60,11170530
208,2120041,HH,정체,120,58,11170625
209,2120040,HH,정체,160,58,11170570
210,2120039,HH,정체,131,63,11140615
211,2120038,HH,정체,131,59,11140625
212,2120037,HH,정체,163,64,11140590
213,2120036,HH,정체,143,72,11140580
214,2120035,HH,정체,155,58,11140590
215,2120034,HH,정체,159,68,11140590
216,2120033,HH,정체,177,82,11140605
217,2120032,HH,정체,158,63,11140570
218,2120031,HH,정체,164,69,11140605
219,2120030,HH,정체,169,60,11140550
220,2120029,HH,정체,200,65,11140550
221,2120028,HH,정체,176,57,11140550
222,2120027,HH,정체,157,60,11140550
223,2120026,HH,정체,147,64,11140550
224,2120025,HH,정체,134,70,11140520
225,2120024,HH,정체,199,87,11140540
226,2120023,HH,정체,147,71,11140550
227,2120022,HH,정체,167,67,11140520
228,2120021,HH,정체,158,74,11140520
229,2120020,HH,정체,156,73,11140520
230,2120019,HH,정체,153,66,11140520
231,2120018,HH,정체,136,64,11140680
232,2120017,HL,상권축소,127,54,11110670
233,2120016,HH,정체,148,73,11110670
234,2120015,HH,정체,141,69,11110630
235,2120014,HH,정체,144,62,11110630
236,2120013,HH,정체,146,65,11110640
237,2120012,LL,다이나믹,111,54,11110650
238,2120011,HH,정체,169,81,11110615
239,2120010,HH,정체,134,67,11110615
240,2120009,HH,정체,147,66,11110615
241,2120008,HH,정체,156,70,11110615
242,2120007,LH,상권확장,116,62,11110600
243,2120006,HH,정체,139,62,11110615
244,2120005,LH,상권확장,95,58,11110540
245,2120004,HH,정체,146,65,11110615
246,2120003,HH,정체,144,64,11110530
247,2120002,LH,상권확장,111,61,11110530
248,2120001,HH,정체,147,61,11110580
249,2111090,LL,다이나믹,66,39,11740515
250,2111089,LH,상권확장,110,57,11740520
251,2111088,LH,상권확장,97,57,11740560
252,2111087,LL,다이나믹,116,54,11740560
253,2111086,LL,다이나믹,105,49,11740540
254,2111085,LL,다이나믹,101,53,11740550
255,2111084,HL,상권축소,129,41,11740685
256,2111083,LL,다이나믹,105,52,11740685
257,2111082,LH,상권확장,76,59,11740700
258,2111081,HL,상권축소,120,52,11740700
259,2111080,LL,다이나믹,111,48,11740530
260,2111079,HH,정체,128,61,11740700
261,2111078,LL,다이나믹,105,46,11740685
262,2111077,LL,다이나믹,116,53,11740685
263,2111076,HL,상권축소,124,49,11740700
264,2111075,HL,상권축소,124,48,11740600
265,2111074,LH,상권확장,111,57,11740570
266,2111073,HL,상권축소,121,52,11740700
267,2111072,LL,다이나믹,109,53,11740600
268,2111071,LL,다이나믹,109,50,11740685
269,2111070,LL,다이나믹,99,50,11740600
270,2111069,HL,상권축소,119,54,11740600
271,2111068,HL,상권축소,120,45,11740685
272,2111067,HL,상권축소,119,47,11740660
273,2111066,LL,다이나믹,116,50,11740570
274,2111065,LH,상권확장,114,60,11740620
275,2111064,LL,다이나믹,110,44,11740660
276,2111063,LL,다이나믹,118,51,11740620
277,2111062,HL,상권축소,121,49,11740660
278,2111061,LL,다이나믹,110,50,11740570
279,2111060,LL,다이나믹,108,47,11740610
280,2111059,LL,다이나믹,111,47,11740650
281,2111058,LL,다이나믹,104,50,11740640
282,2111057,HL,상권축소,126,54,11740610
283,2111056,HH,정체,138,61,11740620
284,2111055,HH,정체,156,71,11740580
285,2111054,LL,다이나믹,112,53,11740580
286,2111053,HH,정체,120,57,11740640
287,2111052,LL,다이나믹,100,53,11740610
288,2111051,HL,상권축소,133,53,11740650
289,2111050,LL,다이나믹,92,53,11740640
290,2111049,LL,다이나믹,114,55,11740610
291,2111048,LL,다이나믹,107,49,11740610
292,2111047,HH,정체,119,56,11710540
293,2111046,HL,상권축소,131,53,11710540
294,2111045,LH,상권확장,105,58,11710647
295,2111044,LH,상권확장,118,57,11710550
296,2111043,HL,상권축소,156,53,11710550
297,2111042,LL,다이나믹,112,52,11710531
298,2111041,LH,상권확장,98,60,11710531
299,2111040,LH,상권확장,115,64,11710570
300,2111039,HL,상권축소,128,53,11710570
301,2111038,HL,상권축소,124,53,11710570
302,2111037,HL,상권축소,125,52,11710570
303,2111036,HL,상권축소,140,51,11710632
304,2111035,HH,정체,121,60,11710570
305,2111034,HL,상권축소,121,55,11710570
306,2111033,LL,다이나믹,110,54,11710646
307,2111032,LH,상권확장,118,55,11710570
308,2111031,LL,다이나믹,97,51,11710646
309,2111030,HL,상권축소,120,51,11710570
310,2111029,HL,상권축소,128,43,11710632
311,2111028,LL,다이나믹,108,53,11710646
312,2111027,LL,다이나믹,109,51,11710641
313,2111026,HL,상권축소,119,49,11710641
314,2111025,LL,다이나믹,107,54,11710632
315,2111024,LL,다이나믹,98,49,11710620
316,2111023,LL,다이나믹,112,54,11710641
317,2111022,HL,상권축소,140,50,11710620
318,2111021,LL,다이나믹,111,51,11710561
319,2111020,LL,다이나믹,109,49,11710561
320,2111019,LL,다이나믹,110,53,11710562
321,2111018,HL,상권축소,145,45,11710510
322,2111017,HH,정체,142,63,11710562
323,2111016,LL,다이나믹,107,49,11710590
324,2111015,LL,다이나믹,106,49,11710580
325,2111014,LL,다이나믹,107,52,11710562
326,2111013,LL,다이나믹,91,46,11710580
327,2111012,LL,다이나믹,103,49,11710600
328,2111011,LL,다이나믹,93,42,11710690
329,2111010,LL,다이나믹,102,48,11710600
330,2111009,LH,상권확장,104,56,11710600
331,2111008,LH,상권확장,114,56,11710600
332,2111007,LL,다이나믹,111,53,11710610
333,2111006,LL,다이나믹,108,50,11710610
334,2111005,LL,다이나믹,104,54,11710610
335,2111004,LL,다이나믹,110,48,11710650
336,2111003,HL,상권축소,128,55,11710650
337,2111002,LH,상권확장,118,62,11680700
338,2111001,LL,다이나믹,40,51,11680700
339,2111000,HH,정체,124,77,11680700
340,2110999,LL,다이나믹,55,34,11680700
341,2110998,LL,다이나믹,46,34,11680700
342,2110997,HL,상권축소,124,54,11680730
343,2110996,HL,상권축소,119,54,11680610
344,2110995,HH,정체,142,61,11680580
345,2110994,HH,정체,130,61,11680670
346,2110993,HH,정체,207,89,11680660
347,2110992,LL,다이나믹,91,42,11680630
348,2110991,LH,상권확장,115,58,11680580
349,2110990,LH,상권확장,96,61,11680565
350,2110989,LL,다이나믹,94,43,11680630
351,2110988,LH,상권확장,110,68,11680580
352,2110987,LL,다이나믹,92,48,11680565
353,2110986,LL,다이나믹,93,45,11680590
354,2110985,LL,다이나믹,93,42,11680565
355,2110984,HL,상권축소,135,54,11680690
356,2110983,HL,상권축소,135,53,11680690
357,2110982,LL,다이나믹,115,48,11680590
358,2110981,HL,상권축소,123,49,11680690
359,2110980,HL,상권축소,136,52,11680690
360,2110979,LL,다이나믹,81,42,11680565
361,2110978,HH,정체,134,61,11680656
362,2110977,HL,상권축소,157,49,11680690
363,2110976,LL,다이나믹,88,47,11680565
364,2110975,HH,정체,127,58,11680655
365,2110974,LL,다이나믹,92,47,11680590
366,2110973,LL,다이나믹,95,52,11680565
367,2110972,LH,상권확장,87,64,11680650
368,2110971,LL,다이나믹,96,48,11680640
369,2110970,LL,다이나믹,103,46,11680531
370,2110969,LL,다이나믹,117,54,11680650
371,2110968,LL,다이나믹,110,49,11680531
372,2110967,LL,다이나믹,76,48,11680640
373,2110966,LL,다이나믹,87,48,11680531
374,2110965,LL,다이나믹,91,47,11680640
375,2110964,LH,상권확장,105,60,11680655
376,2110963,HH,정체,126,56,11680640
377,2110962,LL,다이나믹,91,42,11680545
378,2110961,LL,다이나믹,92,46,11680531
379,2110960,LL,다이나믹,110,52,11680655
380,2110959,HH,정체,135,59,11680545
381,2110958,LL,다이나믹,84,42,11680640
382,2110957,LL,다이나믹,89,51,11680531
383,2110956,LH,상권확장,114,56,11680640
384,2110955,LL,다이나믹,98,46,11680521
385,2110954,LL,다이나믹,71,35,11680640
386,2110953,LH,상권확장,92,59,11680521
387,2110952,LL,다이나믹,66,45,11680521
388,2110951,LL,다이나믹,82,47,11680510
389,2110950,LL,다이나믹,116,40,11680521
390,2110949,LL,다이나믹,95,41,11680510
391,2110948,HH,정체,160,70,11650660
392,2110947,LH,상권확장,97,59,11650660
393,2110946,HH,정체,135,66,11650652
394,2110945,HH,정체,140,64,11650660
395,2110944,HH,정체,144,65,11650660
396,2110943,HL,상권축소,125,54,11650652
397,2110942,LL,다이나믹,117,52,11650652
398,2110941,LH,상권확장,100,61,11650652
399,2110940,HH,정체,141,57,11650652
400,2110939,HL,상권축소,122,52,11650651
401,2110938,HH,정체,129,56,11650651
402,2110937,HH,정체,130,69,11650651
403,2110936,LL,다이나믹,117,53,11650652
404,2110935,LL,다이나믹,94,51,11650520
405,2110934,LH,상권확장,118,59,11650651
406,2110933,HH,정체,142,63,11650510
407,2110932,HL,상권축소,164,51,11650510
408,2110931,LL,다이나믹,41,44,11650651
409,2110930,HL,상권축소,132,50,11650510
410,2110929,HH,정체,127,62,11650510
411,2110928,LL,다이나믹,92,48,11650530
412,2110927,LH,상권확장,113,66,11650540
413,2110926,HL,상권축소,145,51,11650530
414,2110925,HH,정체,123,67,11650530
415,2110924,HH,정체,131,58,11650581
416,2110923,LH,상권확장,113,61,11650620
417,2110922,LL,다이나믹,95,55,11650600
418,2110921,LH,상권확장,89,64,11650581
419,2110920,HH,정체,200,58,11650620
420,2110919,LH,상권확장,102,59,11650621
421,2110918,LL,다이나믹,116,51,11650600
422,2110917,HH,정체,155,59,11650581
423,2110916,LL,다이나믹,117,54,11650600
424,2110915,LL,다이나믹,82,53,11650590
425,2110914,HH,정체,131,68,11650621
426,2110913,HH,정체,132,55,11650620
427,2110912,HH,정체,120,57,11650590
428,2110911,HL,상권축소,156,47,11650620
429,2110910,HH,정체,134,58,11650621
430,2110909,HH,정체,142,65,11650610
431,2110908,HH,정체,156,65,11650550
432,2110907,HL,상권축소,139,51,11650621
433,2110906,HL,상권축소,138,53,11650621
434,2110905,LL,다이나믹,103,51,11650610
435,2110904,HH,정체,119,58,11650610
436,2110903,LL,다이나믹,108,53,11650590
437,2110902,HH,정체,119,58,11620630
438,2110901,LH,상권확장,118,57,11620625
439,2110900,LL,다이나믹,96,52,11620625
440,2110899,LL,다이나믹,112,46,11620575
441,2110898,LL,다이나믹,76,44,11620545
442,2110897,LL,다이나믹,100,54,11620575
443,2110896,LL,다이나믹,118,51,11620575
444,2110895,LL,다이나믹,87,54,11620585
445,2110894,LH,상권확장,89,58,11620565
446,2110893,LL,다이나믹,117,36,11620595
447,2110892,LL,다이나믹,112,51,11620615
448,2110891,LL,다이나믹,102,44,11620565
449,2110890,LL,다이나믹,107,49,11620595
